iter	Passed	Remaining
752	1258	412
753	1260	411
754	1262	409
755	1263	407
756	1266	406
757	1267	404
758	1269	403
759	1270	401
760	1272	399
761	1274	397
762	1275	396
763	1277	394
764	1278	392
765	1280	391
766	1297	394
767	1314	397
768	1329	399
769	1331	397
770	1333	396
771	1335	394
772	1340	393
773	1346	393
774	1349	391
775	1350	389
776	1352	388
777	1354	386
778	1355	384
779	1357	382
780	1358	381
781	1360	379
782	1362	377
783	1364	375
784	1365	374
785	1367	372
786	1368	370
787	1370	368
788	1372	366
789	1373	365
790	1375	363
791	1377	361
792	1378	359
793	1380	358
794	1382	356
795	1383	354
796	1385	352
797	1387	351
798	1388	349
799	1390	347
800	1392	345
801	1393	344
802	1395	342
803	1396	340
804	1398	338
805	1400	337
806	1402	335
807	1404	333
808	1406	331
809	1407	330
810	1409	328
811	1410	326
812	1412	324
813	1414	323
814	1415	321
815	1417	319
816	1419	317
817	1420	316
818	1422	314
819	1424	312
820	1425	310
821	1427	309
822	1428	307
823	1430	305
824	1432	303
825	1433	302
826	1435	300
827	1437	298
828	1438	296
829	1440	295
830	1442	293
831	1443	291
832	1445	289
833	1446	287
834	1448	286
835	1450	284
836	1451	282
837	1453	280
838	1454	279
839	1456	277
840	1457	275
841	1459	273
842	1461	272
843	1462	270
844	1464	268
845	1466	266
846	1468	265
847	1469	263
848	1471	261
849	1472	259
850	1474	258
851	1475	256
852	1477	254
853	1479	252
854	1480	251
855	1482	249
856	1483	247
857	1485	245
858	1486	244
859	1488	242
860	1489	240
861	1491	238
862	1493	237
863	1494	235
864	1496	233
865	1498	231
866	1499	230
867	1501	228
868	1503	226
869	1504	224
870	1506	223
871	1508	221
872	1509	219
873	1511	217
874	1513	216
875	1514	214
876	1516	212
877	1518	210
878	1519	209
879	1521	207
880	1523	205
881	1524	204
882	1526	202
883	1528	200
884	1530	198
885	1531	197
886	1533	195
887	1535	193
888	1536	191
889	1538	190
890	1540	188
891	1541	186
892	1543	184
893	1545	183
894	1546	181
895	1548	179
896	1550	177
897	1551	176
898	1553	174
899	1555	172
900	1556	171
901	1558	169
902	1560	167
903	1561	165
904	1563	164
905	1565	162
906	1566	160
907	1568	158
908	1570	157
909	1571	155
910	1573	153
911	1574	151
912	1576	150
913	1577	148
914	1579	146
915	1581	145
916	1582	143
917	1584	141
918	1586	139
919	1587	138
920	1589	136
921	1590	134
922	1592	132
923	1594	131
924	1596	129
925	1597	127
926	1599	125
927	1601	124
928	1602	122
929	1604	120
930	1606	119
931	1607	117
932	1609	115
933	1611	113
934	1613	112
